"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API - Serverest","Gestão de usuários","Consulta de usuários","0","0","1","0","0"
"API - Serverest","Gestão de usuários","Cadastro de usuário","0","0","1","0","0"
"API - Serverest","Gestão de usuários","Exclusão de usuário","0","0","1","0","0"
"API - Serverest","Gestão de usuários","Atualização de usuário","0","0","1","0","0"
